datetime,src,dst,channel,rssi,pdr
2018-01-11 14:13:36.563,00-17-0d-00-00-38-07-0c,,11,-90,85.59
2018-01-11 14:13:36.563,00-17-0d-00-00-38-07-0c,,12,-90,87.93
2018-01-11 14:13:36.563,00-17-0d-00-00-38-07-0c,,13,-92,71.84
2018-01-11 14:13:36.563,00-17-0d-00-00-38-07-0c,,14,-87,91.92
2018-01-11 14:13:36.563,00-17-0d-00-00-38-07-0c,,15,-93,90.91
2018-01-11 14:13:36.563,00-17-0d-00-00-38-07-0c,,16,-91,93.07
2018-01-11 14:13:36.563,00-17-0d-00-00-38-07-0c,,17,-93,82.93
2018-01-11 14:13:36.563,00-17-0d-00-00-38-07-0c,,18,-90,81.65
2018-01-11 14:13:36.563,00-17-0d-00-00-38-07-0c,,19,-93,91.35
2018-01-11 14:13:36.563,00-17-0d-00-00-38-07-0c,,20,-93,94.74
2018-01-11 14:13:36.563,00-17-0d-00-00-38-07-0c,,21,-93,78.85
2018-01-11 14:13:36.563,00-17-0d-00-00-38-07-0c,,22,-90,55.45
2018-01-11 14:13:36.563,00-17-0d-00-00-38-07-0c,,23,-93,79.83
2018-01-11 14:13:36.563,00-17-0d-00-00-38-07-0c,,24,-75,88.99
2018-01-11 14:13:36.563,00-17-0d-00-00-38-07-0c,,25,-91,66.98
2018-01-11 14:14:26.211,00-17-0d-00-00-38-04-25,,11,-93,65.05
2018-01-11 14:14:26.211,00-17-0d-00-00-38-04-25,,12,-93,82.3
2018-01-11 14:14:26.211,00-17-0d-00-00-38-04-25,,13,-93,84.03
2018-01-11 14:14:26.211,00-17-0d-00-00-38-04-25,,14,-93,90.98
2018-01-11 14:14:26.211,00-17-0d-00-00-38-04-25,,15,-90,82.5
2018-01-11 14:14:26.211,00-17-0d-00-00-38-04-25,,16,-91,89.42
2018-01-11 14:14:26.211,00-17-0d-00-00-38-04-25,,17,-93,79.65
2018-01-11 14:14:26.211,00-17-0d-00-00-38-04-25,,18,-93,84.48
2018-01-11 14:14:26.211,00-17-0d-00-00-38-04-25,,19,-90,93.64
2018-01-11 14:14:26.211,00-17-0d-00-00-38-04-25,,20,-83,95.58
2018-01-11 14:14:26.211,00-17-0d-00-00-38-04-25,,21,-93,78.1
